dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__scene__3485__fold_2,0.970954356846473,0.979253112033195,0.970954356846473,0.979253112033195,,,0.2944819852404962,0.1014686607190551,TabNet,SVM,58.326878042999965,1.096086220000018,0.0328604430000041,0.0439867580000168
openml__scene__3485__fold_3,0.975103734439834,0.995850622406639,0.975103734439834,0.995850622406639,,,0.1091179368824368,0.0350857468172407,TabNet,SVM,14.481882730999814,1.0470530329999974,0.0168697789999896,0.0380386100000009
openml__scene__3485__fold_4,0.9875518672199172,0.9875518672199172,0.9875518672199172,0.9875518672199172,,,0.0986095895480171,0.0632488234709883,rtdl_MLP,CatBoost,6.547234271999969,2.6169972249999987,0.0536985450000884,0.0173215359999971
openml__scene__3485__fold_5,0.9875518672199172,0.991701244813278,0.9875518672199172,0.991701244813278,,,0.0362470782724907,0.043157889586551,SAINT,CatBoost,560.6648414470005,54.3959108199997,0.2135911079994912,0.0098559049984032
openml__scene__3485__fold_6,0.9875518672199172,0.995850622406639,0.9875518672199172,0.995850622406639,,,0.0837011093915651,0.0170832927656437,TabNet,XGBoost,22.67220904600072,0.244018804999996,0.0226216190003469,0.0069143289999971
openml__scene__3485__fold_7,0.975,0.9791666666666666,0.975,0.9791666666666666,,,0.1774986253267244,0.0940228545829708,TabNet,CatBoost,72.8224890749998,198.89347134299896,0.0385481920002348,0.0062917719988035
openml__scene__3485__fold_8,0.9833333333333332,0.9916666666666668,0.9833333333333332,0.9916666666666668,,,0.1405451007176091,0.0452381601129744,TabNet,CatBoost,87.95640184500007,41.19284031799998,0.0501451550007914,0.0066851990000031
openml__scene__3485__fold_9,0.9875,0.9958333333333332,0.9875,0.9958333333333332,,,0.051250831564875,0.030937700145043,TabNet,CatBoost,40.40371210700141,7.458473865000997,0.0286956649997591,0.0063499460011371
openml__segment__146822__fold_0,0.935064935064935,0.9393939393939394,0.9342137968105028,0.939106291718232,,,0.2013995822910128,0.1893559721986779,TabNet,LightGBM,68.49039513099979,2.353847634999994,0.0372723450000194,0.0064890500000132
openml__segment__146822__fold_1,0.935064935064935,0.922077922077922,0.935064935064935,0.9233460733914493,,,0.2023760765474451,0.1983813673163357,STG,LightGBM,27.866314226000213,3.534431125999987,0.0015891120001469,0.0201468629999794
openml__segment__146822__fold_2,0.9134199134199136,0.9264069264069263,0.9134966018032304,0.9263215274628795,,,0.3372189867300191,0.204526796544544,TabNet,LightGBM,13.075809699000049,1.534153979999985,0.0108168960000512,0.0012289480000049
openml__segment__146822__fold_3,0.8874458874458875,0.9437229437229436,0.8872654900326539,0.9437466155616476,,,0.3320158972583085,0.1514805772195989,VIME,LightGBM,19.970548188000063,1.2668768870000005,0.0509271290002288,0.0039918939999985
openml__segment__146822__fold_4,0.9696969696969696,0.948051948051948,0.9694324784612302,0.9473337722185649,,,0.1047262486537694,0.1441699996045327,DANet,XGBoost,81.590677573,0.3922268580000008,0.0363620719981554,0.0012964479999908
