dataset,alg,experiment
openml__one-hundred-plants-texture__9956,SVM,algs-cpu-1-datasets-b
openml__one-hundred-plants-texture__9956,TabNet,algs-gpu-1-datasets-b-v3
openml__one-hundred-plants-texture__9956,TabNet,algs-gpu-1-datasets-b
openml__one-hundred-plants-texture__9956,TabTransformer,algs-gpu-2-datasets-b
openml__one-hundred-plants-texture__9956,VIME,algs-gpu-1-datasets-b-v3
openml__one-hundred-plants-texture__9956,VIME,algs-gpu-1-datasets-b
openml__one-hundred-plants-texture__9956,XGBoost,algs-gpu-1-datasets-b-v2
openml__one-hundred-plants-texture__9956,XGBoost,algs-gpu-1-datasets-b-v3
openml__one-hundred-plants-texture__9956,XGBoost,algs-gpu-1-datasets-b
openml__one-hundred-plants-texture__9956,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__one-hundred-plants-texture__9956,rtdl_ResNet,algs-gpu-2-datasets-b
openml__optdigits__28,CatBoost,gpu-expt-a
openml__optdigits__28,DANet,algs-gpu-2-datasets-a
openml__optdigits__28,DecisionTree,cpu-expt
openml__optdigits__28,KNN,cpu-expt
openml__optdigits__28,LightGBM,cpu-expt
openml__optdigits__28,LinearModel,cpu-expt
openml__optdigits__28,MLP,gpu-expt-a
openml__optdigits__28,NODE,algs-gpu-2-datasets-a
openml__optdigits__28,RandomForest,cpu-expt
openml__optdigits__28,SAINT,algs-gpu-2-datasets-a
openml__optdigits__28,STG,algs-gpu-2-datasets-a
openml__optdigits__28,SVM,cpu-expt
openml__optdigits__28,TabNet,gpu-expt-a
openml__optdigits__28,TabTransformer,algs-gpu-2-datasets-a
openml__optdigits__28,VIME,gpu-expt-a
openml__optdigits__28,XGBoost,gpu-expt-a
openml__optdigits__28,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__optdigits__28,rtdl_ResNet,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,CatBoost,gpu-expt-a
openml__ozone-level-8hr__9978,DANet,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,DecisionTree,cpu-expt
openml__ozone-level-8hr__9978,DeepFM,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,KNN,cpu-expt
openml__ozone-level-8hr__9978,LightGBM,cpu-expt
openml__ozone-level-8hr__9978,LinearModel,cpu-expt
openml__ozone-level-8hr__9978,MLP,gpu-expt-a
openml__ozone-level-8hr__9978,NAM,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,NODE,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,RandomForest,cpu-expt
openml__ozone-level-8hr__9978,SAINT,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,STG,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,SVM,cpu-expt
openml__ozone-level-8hr__9978,TabNet,gpu-expt-a
openml__ozone-level-8hr__9978,TabTransformer,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,VIME,gpu-expt-a
openml__ozone-level-8hr__9978,XGBoost,gpu-expt-a
openml__ozone-level-8hr__9978,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,rtdl_MLP,algs-gpu-2-datasets-a
openml__ozone-level-8hr__9978,rtdl_ResNet,algs-gpu-2-datasets-a
openml__page-blocks__30,CatBoost,algs-gpu-1-datasets-b-v2
openml__page-blocks__30,CatBoost,algs-gpu-1-datasets-b-v3
openml__page-blocks__30,CatBoost,algs-gpu-1-datasets-b
openml__page-blocks__30,DANet,algs-gpu-2-datasets-b
openml__page-blocks__30,DecisionTree,algs-cpu-1-datasets-b
openml__page-blocks__30,KNN,algs-cpu-1-datasets-b
openml__page-blocks__30,LightGBM,algs-cpu-1-datasets-b
openml__page-blocks__30,LinearModel,algs-cpu-1-datasets-b
openml__page-blocks__30,LinearModel,all-datasets-b
openml__page-blocks__30,MLP,algs-gpu-1-datasets-b-v3
openml__page-blocks__30,MLP,algs-gpu-1-datasets-b
openml__page-blocks__30,NODE,algs-gpu-2-datasets-b
openml__page-blocks__30,RandomForest,algs-cpu-1-datasets-b
openml__page-blocks__30,STG,algs-gpu-2-datasets-b
openml__page-blocks__30,SVM,algs-cpu-1-datasets-b
openml__page-blocks__30,TabNet,algs-gpu-1-datasets-b-v3
openml__page-blocks__30,TabNet,algs-gpu-1-datasets-b
openml__page-blocks__30,TabTransformer,algs-gpu-2-datasets-b
openml__page-blocks__30,VIME,algs-gpu-1-datasets-b-v3
openml__page-blocks__30,VIME,algs-gpu-1-datasets-b
openml__page-blocks__30,XGBoost,algs-gpu-1-datasets-b-v2
openml__page-blocks__30,XGBoost,algs-gpu-1-datasets-b-v3
openml__page-blocks__30,XGBoost,algs-gpu-1-datasets-b
openml__page-blocks__30,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__page-blocks__30,rtdl_MLP,algs-gpu-2-datasets-b
openml__pbc__4850,CatBoost,algs-gpu-1-datasets-b-v2
openml__pbc__4850,CatBoost,algs-gpu-1-datasets-b-v3
openml__pbc__4850,CatBoost,algs-gpu-1-datasets-b
openml__pbc__4850,DANet,algs-gpu-2-datasets-b
openml__pbc__4850,DecisionTree,algs-cpu-1-datasets-b
openml__pbc__4850,DeepFM,algs-gpu-2-datasets-b
openml__pbc__4850,KNN,algs-cpu-1-datasets-b
openml__pbc__4850,LightGBM,algs-cpu-1-datasets-b
openml__pbc__4850,LinearModel,algs-cpu-1-datasets-b
openml__pbc__4850,LinearModel,all-datasets-b
openml__pbc__4850,MLP,algs-gpu-1-datasets-b-v3
openml__pbc__4850,MLP,algs-gpu-1-datasets-b
openml__pbc__4850,NAM,algs-gpu-2-datasets-b
openml__pbc__4850,NODE,algs-gpu-2-datasets-b
openml__pbc__4850,RandomForest,algs-cpu-1-datasets-b
openml__pbc__4850,STG,algs-gpu-2-datasets-b
openml__pbc__4850,SVM,algs-cpu-1-datasets-b
openml__pbc__4850,TabNet,algs-gpu-1-datasets-b-v3
openml__pbc__4850,TabNet,algs-gpu-1-datasets-b
openml__pbc__4850,TabTransformer,algs-gpu-2-datasets-b
openml__pbc__4850,VIME,algs-gpu-1-datasets-b-v3
openml__pbc__4850,VIME,algs-gpu-1-datasets-b
openml__pbc__4850,XGBoost,algs-gpu-1-datasets-b-v2
openml__pbc__4850,XGBoost,algs-gpu-1-datasets-b-v3
openml__pbc__4850,XGBoost,algs-gpu-1-datasets-b
openml__pc1__3918,CatBoost,gpu-expt-a
openml__pc1__3918,DANet,algs-gpu-2-datasets-a
openml__pc1__3918,DecisionTree,cpu-expt
openml__pc1__3918,DeepFM,algs-gpu-2-datasets-a
openml__pc1__3918,KNN,cpu-expt
openml__pc1__3918,LightGBM,cpu-expt
openml__pc1__3918,LinearModel,cpu-expt
openml__pc1__3918,MLP,gpu-expt-a
openml__pc1__3918,NAM,algs-gpu-2-datasets-a
openml__pc1__3918,NODE,algs-gpu-2-datasets-a
openml__pc1__3918,RandomForest,cpu-expt
openml__pc1__3918,STG,algs-gpu-2-datasets-a
openml__pc1__3918,SVM,cpu-expt
openml__pc1__3918,TabNet,gpu-expt-a
openml__pc1__3918,TabTransformer,algs-gpu-2-datasets-a
openml__pc1__3918,VIME,gpu-expt-a
openml__pc1__3918,XGBoost,gpu-expt-a
openml__pc1__3918,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__pc1__3918,rtdl_MLP,algs-gpu-2-datasets-a
openml__pc1__3918,rtdl_ResNet,algs-gpu-2-datasets-a
openml__pc3__3903,CatBoost,gpu-expt-a
openml__pc3__3903,DANet,algs-gpu-2-datasets-a
openml__pc3__3903,DecisionTree,cpu-expt
openml__pc3__3903,DeepFM,algs-gpu-2-datasets-a
openml__pc3__3903,KNN,cpu-expt
openml__pc3__3903,LightGBM,cpu-expt
openml__pc3__3903,LinearModel,cpu-expt
openml__pc3__3903,MLP,gpu-expt-a
openml__pc3__3903,NAM,algs-gpu-2-datasets-a
openml__pc3__3903,NODE,algs-gpu-2-datasets-a
openml__pc3__3903,RandomForest,cpu-expt
openml__pc3__3903,STG,algs-gpu-2-datasets-a
openml__pc3__3903,SVM,cpu-expt
openml__pc3__3903,TabNet,gpu-expt-a
openml__pc3__3903,TabTransformer,algs-gpu-2-datasets-a
openml__pc3__3903,VIME,gpu-expt-a
openml__pc3__3903,XGBoost,gpu-expt-a
openml__pc3__3903,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__pc3__3903,rtdl_MLP,algs-gpu-2-datasets-a
openml__pc3__3903,rtdl_ResNet,algs-gpu-2-datasets-a
openml__pc4__3902,CatBoost,gpu-expt-a
openml__pc4__3902,DANet,algs-gpu-2-datasets-a
openml__pc4__3902,DecisionTree,cpu-expt
openml__pc4__3902,DeepFM,algs-gpu-2-datasets-a
openml__pc4__3902,KNN,cpu-expt
openml__pc4__3902,LightGBM,cpu-expt
openml__pc4__3902,LinearModel,cpu-expt
openml__pc4__3902,MLP,gpu-expt-a
openml__pc4__3902,NAM,algs-gpu-2-datasets-a
openml__pc4__3902,NODE,algs-gpu-2-datasets-a
openml__pc4__3902,RandomForest,cpu-expt
openml__pc4__3902,STG,algs-gpu-2-datasets-a
openml__pc4__3902,SVM,cpu-expt
openml__pc4__3902,TabNet,gpu-expt-a
openml__pc4__3902,TabTransformer,algs-gpu-2-datasets-a
openml__pc4__3902,VIME,gpu-expt-a
openml__pc4__3902,XGBoost,gpu-expt-a
openml__pc4__3902,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__pc4__3902,rtdl_MLP,algs-gpu-2-datasets-a
openml__pc4__3902,rtdl_ResNet,algs-gpu-2-datasets-a
openml__pendigits__32,DANet,algs-gpu-2-datasets-a
openml__pendigits__32,DecisionTree,cpu-expt
openml__pendigits__32,KNN,cpu-expt
openml__pendigits__32,LightGBM,cpu-expt
openml__pendigits__32,LinearModel,cpu-expt
openml__pendigits__32,MLP,gpu-expt-a
openml__pendigits__32,NODE,algs-gpu-2-datasets-a
openml__pendigits__32,RandomForest,cpu-expt
openml__pendigits__32,SAINT,algs-gpu-2-datasets-a
openml__pendigits__32,STG,algs-gpu-2-datasets-a
openml__pendigits__32,SVM,cpu-expt
openml__pendigits__32,TabNet,gpu-expt-a
openml__pendigits__32,TabTransformer,algs-gpu-2-datasets-a
openml__pendigits__32,VIME,gpu-expt-a
openml__pendigits__32,XGBoost,gpu-expt-a
openml__pendigits__32,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__philippine__190410,CatBoost,gpu-expt-a
openml__philippine__190410,DANet,algs-gpu-2-datasets-a
openml__philippine__190410,DecisionTree,cpu-expt
openml__philippine__190410,DeepFM,algs-gpu-2-datasets-a
openml__philippine__190410,KNN,cpu-expt
openml__philippine__190410,LightGBM,cpu-expt
openml__philippine__190410,LinearModel,cpu-expt
openml__philippine__190410,MLP,gpu-expt-a
openml__philippine__190410,NAM,algs-gpu-2-datasets-a
openml__philippine__190410,NODE,algs-gpu-2-datasets-a
openml__philippine__190410,RandomForest,cpu-expt
openml__philippine__190410,SAINT,algs-gpu-2-datasets-a
openml__philippine__190410,STG,algs-gpu-2-datasets-a
openml__philippine__190410,TabNet,gpu-expt-a
openml__philippine__190410,TabTransformer,algs-gpu-2-datasets-a
openml__philippine__190410,VIME,gpu-expt-a
openml__philippine__190410,XGBoost,gpu-expt-a
openml__philippine__190410,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__philippine__190410,rtdl_ResNet,algs-gpu-2-datasets-a
openml__phoneme__9952,CatBoost,gpu-expt-a
openml__phoneme__9952,DANet,algs-gpu-2-datasets-a
openml__phoneme__9952,DecisionTree,cpu-expt
openml__phoneme__9952,DeepFM,algs-gpu-2-datasets-a
openml__phoneme__9952,KNN,cpu-expt
openml__phoneme__9952,LightGBM,cpu-expt
openml__phoneme__9952,LinearModel,cpu-expt
openml__phoneme__9952,MLP,gpu-expt-a
openml__phoneme__9952,NAM,algs-gpu-2-datasets-a
openml__phoneme__9952,NODE,algs-gpu-2-datasets-a
openml__phoneme__9952,RandomForest,cpu-expt
openml__phoneme__9952,SAINT,algs-gpu-2-datasets-a
openml__phoneme__9952,STG,algs-gpu-2-datasets-a
openml__phoneme__9952,SVM,cpu-expt
openml__phoneme__9952,TabNet,gpu-expt-a
openml__phoneme__9952,TabTransformer,algs-gpu-2-datasets-a
openml__phoneme__9952,VIME,gpu-expt-a
openml__phoneme__9952,XGBoost,gpu-expt-a
openml__phoneme__9952,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__phoneme__9952,rtdl_ResNet,algs-gpu-2-datasets-a
openml__poker-hand__9890,CatBoost,algs-gpu-1-datasets-b-v3
openml__poker-hand__9890,CatBoost,algs-gpu-1-datasets-b
openml__poker-hand__9890,DANet,algs-gpu-2-datasets-b
openml__poker-hand__9890,KNN,algs-cpu-1-datasets-b
openml__poker-hand__9890,MLP,algs-gpu-1-datasets-b-v3
openml__poker-hand__9890,MLP,algs-gpu-1-datasets-b
openml__poker-hand__9890,NODE,algs-gpu-2-datasets-b
openml__poker-hand__9890,STG,algs-gpu-2-datasets-b
openml__poker-hand__9890,TabNet,algs-gpu-1-datasets-b-v3
openml__poker-hand__9890,TabNet,algs-gpu-1-datasets-b
openml__poker-hand__9890,TabTransformer,algs-gpu-2-datasets-b
openml__poker-hand__9890,VIME,algs-gpu-1-datasets-b-v3
openml__poker-hand__9890,VIME,algs-gpu-1-datasets-b
openml__poker-hand__9890,XGBoost,algs-gpu-1-datasets-b-v3
openml__poker-hand__9890,XGBoost,algs-gpu-1-datasets-b
openml__poker-hand__9890,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__pollen__3735,CatBoost,algs-gpu-1-datasets-b-v2
openml__pollen__3735,CatBoost,algs-gpu-1-datasets-b
openml__pollen__3735,DANet,algs-gpu-2-datasets-b
openml__pollen__3735,DecisionTree,algs-cpu-1-datasets-b
openml__pollen__3735,DeepFM,algs-gpu-2-datasets-b
openml__pollen__3735,KNN,algs-cpu-1-datasets-b
openml__pollen__3735,LightGBM,algs-cpu-1-datasets-b
openml__pollen__3735,LinearModel,algs-cpu-1-datasets-b
openml__pollen__3735,LinearModel,all-datasets-b
openml__pollen__3735,MLP,algs-gpu-1-datasets-b-v3
openml__pollen__3735,MLP,algs-gpu-1-datasets-b
openml__pollen__3735,NAM,algs-gpu-2-datasets-b
openml__pollen__3735,NODE,algs-gpu-2-datasets-b
openml__pollen__3735,RandomForest,algs-cpu-1-datasets-b
openml__pollen__3735,SAINT,algs-gpu-2-datasets-b
openml__pollen__3735,STG,algs-gpu-2-datasets-b
openml__pollen__3735,TabNet,algs-gpu-1-datasets-b-v3
openml__pollen__3735,TabNet,algs-gpu-1-datasets-b
openml__pollen__3735,TabTransformer,algs-gpu-2-datasets-b
openml__pollen__3735,VIME,algs-gpu-1-datasets-b-v3
openml__pollen__3735,VIME,algs-gpu-1-datasets-b
openml__pollen__3735,XGBoost,algs-gpu-1-datasets-b-v2
openml__pollen__3735,XGBoost,algs-gpu-1-datasets-b-v3
openml__pollen__3735,XGBoost,algs-gpu-1-datasets-b
openml__pollen__3735,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,CatBoost,algs-gpu-1-datasets-b-v2
openml__postoperative-patient-data__146210,CatBoost,algs-gpu-1-datasets-b
openml__postoperative-patient-data__146210,DANet,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,DecisionTree,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,DeepFM,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,KNN,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,LightGBM,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,LinearModel,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,LinearModel,all-datasets-b
openml__postoperative-patient-data__146210,MLP,algs-gpu-1-datasets-b-v3
openml__postoperative-patient-data__146210,MLP,algs-gpu-1-datasets-b
openml__postoperative-patient-data__146210,NAM,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,NODE,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,RandomForest,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,STG,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,SVM,algs-cpu-1-datasets-b
openml__postoperative-patient-data__146210,TabNet,algs-gpu-1-datasets-b-v3
openml__postoperative-patient-data__146210,TabNet,algs-gpu-1-datasets-b
openml__postoperative-patient-data__146210,TabTransformer,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,VIME,algs-gpu-1-datasets-b-v3
openml__postoperative-patient-data__146210,VIME,algs-gpu-1-datasets-b
openml__postoperative-patient-data__146210,XGBoost,algs-gpu-1-datasets-b-v2
openml__postoperative-patient-data__146210,XGBoost,algs-gpu-1-datasets-b-v3
openml__postoperative-patient-data__146210,XGBoost,algs-gpu-1-datasets-b
openml__postoperative-patient-data__146210,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,rtdl_MLP,algs-gpu-2-datasets-b
openml__postoperative-patient-data__146210,rtdl_ResNet,algs-gpu-2-datasets-b
openml__primary-tumor__146032,CatBoost,gpu-expt-a
openml__primary-tumor__146032,DANet,algs-gpu-2-datasets-a
openml__primary-tumor__146032,DecisionTree,cpu-expt
openml__primary-tumor__146032,KNN,cpu-expt
openml__primary-tumor__146032,LightGBM,cpu-expt
openml__primary-tumor__146032,LinearModel,cpu-expt
openml__primary-tumor__146032,MLP,gpu-expt-a
openml__primary-tumor__146032,NODE,algs-gpu-2-datasets-a
openml__primary-tumor__146032,RandomForest,cpu-expt
openml__primary-tumor__146032,STG,algs-gpu-2-datasets-a
openml__primary-tumor__146032,SVM,cpu-expt
openml__primary-tumor__146032,TabNet,gpu-expt-a
openml__primary-tumor__146032,TabTransformer,algs-gpu-2-datasets-a
openml__primary-tumor__146032,VIME,gpu-expt-a
openml__primary-tumor__146032,XGBoost,gpu-expt-a
openml__primary-tumor__146032,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__primary-tumor__146032,rtdl_MLP,algs-gpu-2-datasets-a
openml__primary-tumor__146032,rtdl_ResNet,algs-gpu-2-datasets-a
openml__profb__3561,CatBoost,algs-gpu-1-datasets-b-v2
openml__profb__3561,CatBoost,algs-gpu-1-datasets-b-v3
openml__profb__3561,CatBoost,algs-gpu-1-datasets-b
openml__profb__3561,DecisionTree,algs-cpu-1-datasets-b
openml__profb__3561,DeepFM,algs-gpu-2-datasets-b
openml__profb__3561,KNN,algs-cpu-1-datasets-b
openml__profb__3561,LightGBM,algs-cpu-1-datasets-b
openml__profb__3561,LinearModel,algs-cpu-1-datasets-b
openml__profb__3561,LinearModel,all-datasets-b
openml__profb__3561,MLP,algs-gpu-1-datasets-b-v3
openml__profb__3561,MLP,algs-gpu-1-datasets-b
openml__profb__3561,NAM,algs-gpu-2-datasets-b
openml__profb__3561,NODE,algs-gpu-2-datasets-b
openml__profb__3561,RandomForest,algs-cpu-1-datasets-b
openml__profb__3561,SAINT,algs-gpu-2-datasets-b
openml__profb__3561,STG,algs-gpu-2-datasets-b
openml__profb__3561,SVM,algs-cpu-1-datasets-b
openml__profb__3561,TabNet,algs-gpu-1-datasets-b-v3
openml__profb__3561,TabNet,algs-gpu-1-datasets-b
openml__profb__3561,TabTransformer,algs-gpu-2-datasets-b
openml__profb__3561,VIME,algs-gpu-1-datasets-b-v3
openml__profb__3561,VIME,algs-gpu-1-datasets-b
openml__profb__3561,XGBoost,algs-gpu-1-datasets-b-v2
openml__profb__3561,XGBoost,algs-gpu-1-datasets-b-v3
openml__profb__3561,XGBoost,algs-gpu-1-datasets-b
openml__profb__3561,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__profb__3561,rtdl_MLP,algs-gpu-2-datasets-b
openml__profb__3561,rtdl_ResNet,algs-gpu-2-datasets-b
openml__qsar-biodeg__9957,CatBoost,gpu-expt-a
openml__qsar-biodeg__9957,DANet,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,DecisionTree,cpu-expt
openml__qsar-biodeg__9957,DeepFM,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,KNN,cpu-expt
openml__qsar-biodeg__9957,LightGBM,cpu-expt
openml__qsar-biodeg__9957,LinearModel,cpu-expt
openml__qsar-biodeg__9957,MLP,gpu-expt-a
openml__qsar-biodeg__9957,NAM,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,NODE,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,RandomForest,cpu-expt
openml__qsar-biodeg__9957,STG,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,SVM,cpu-expt
openml__qsar-biodeg__9957,TabNet,gpu-expt-a
openml__qsar-biodeg__9957,TabTransformer,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,VIME,gpu-expt-a
openml__qsar-biodeg__9957,XGBoost,gpu-expt-a
openml__qsar-biodeg__9957,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__qsar-biodeg__9957,rtdl_ResNet,algs-gpu-2-datasets-a
openml__rabe_266__3647,CatBoost,algs-gpu-1-datasets-b-v2
openml__rabe_266__3647,CatBoost,algs-gpu-1-datasets-b-v3
openml__rabe_266__3647,CatBoost,algs-gpu-1-datasets-b
openml__rabe_266__3647,DANet,algs-gpu-2-datasets-b
openml__rabe_266__3647,DecisionTree,algs-cpu-1-datasets-b
openml__rabe_266__3647,DeepFM,algs-gpu-2-datasets-b
openml__rabe_266__3647,KNN,algs-cpu-1-datasets-b
openml__rabe_266__3647,LightGBM,algs-cpu-1-datasets-b
openml__rabe_266__3647,LinearModel,algs-cpu-1-datasets-b
openml__rabe_266__3647,LinearModel,all-datasets-b
openml__rabe_266__3647,MLP,algs-gpu-1-datasets-b-v3
openml__rabe_266__3647,MLP,algs-gpu-1-datasets-b
openml__rabe_266__3647,NAM,algs-gpu-2-datasets-b
openml__rabe_266__3647,NODE,algs-gpu-2-datasets-b
openml__rabe_266__3647,RandomForest,algs-cpu-1-datasets-b
openml__rabe_266__3647,SAINT,algs-gpu-2-datasets-b
openml__rabe_266__3647,STG,algs-gpu-2-datasets-b
openml__rabe_266__3647,SVM,algs-cpu-1-datasets-b
openml__rabe_266__3647,TabNet,algs-gpu-1-datasets-b-v3
openml__rabe_266__3647,TabNet,algs-gpu-1-datasets-b
openml__rabe_266__3647,TabTransformer,algs-gpu-2-datasets-b
openml__rabe_266__3647,VIME,algs-gpu-1-datasets-b-v3
openml__rabe_266__3647,VIME,algs-gpu-1-datasets-b
openml__rabe_266__3647,XGBoost,algs-gpu-1-datasets-b-v2
openml__rabe_266__3647,XGBoost,algs-gpu-1-datasets-b-v3
openml__rabe_266__3647,XGBoost,algs-gpu-1-datasets-b
openml__rabe_266__3647,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__rabe_266__3647,rtdl_MLP,algs-gpu-2-datasets-b
openml__riccardo__168338,DANet,algs-gpu-2-datasets-a
openml__riccardo__168338,DecisionTree,cpu-expt
openml__riccardo__168338,DeepFM,algs-gpu-2-datasets-a
openml__riccardo__168338,KNN,cpu-expt
openml__riccardo__168338,LightGBM,cpu-expt
openml__riccardo__168338,LinearModel,cpu-expt
openml__riccardo__168338,MLP,gpu-expt-a
openml__riccardo__168338,NAM,algs-gpu-2-datasets-a
openml__riccardo__168338,NODE,algs-gpu-2-datasets-a
openml__riccardo__168338,RandomForest,cpu-expt
openml__riccardo__168338,STG,algs-gpu-2-datasets-a
openml__riccardo__168338,SVM,cpu-expt
openml__riccardo__168338,TabNet,gpu-expt-a
openml__riccardo__168338,TabTransformer,algs-gpu-2-datasets-a
openml__riccardo__168338,VIME,gpu-expt-a
openml__riccardo__168338,XGBoost,gpu-expt-a
openml__riccardo__168338,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__robert__168332,DANet,algs-gpu-2-datasets-a
openml__robert__168332,DecisionTree,cpu-expt
openml__robert__168332,KNN,cpu-expt
openml__robert__168332,LinearModel,cpu-expt
openml__robert__168332,MLP,gpu-expt-a
openml__robert__168332,NODE,algs-gpu-2-datasets-a
openml__robert__168332,RandomForest,cpu-expt
openml__robert__168332,STG,algs-gpu-2-datasets-a
openml__robert__168332,SVM,cpu-expt
openml__robert__168332,TabNet,gpu-expt-a
openml__robert__168332,TabTransformer,algs-gpu-2-datasets-a
openml__robert__168332,VIME,gpu-expt-a
openml__robert__168332,XGBoost,gpu-expt-a
openml__robert__168332,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__robert__168332,rtdl_MLP,algs-gpu-2-datasets-a
openml__satimage__2074,CatBoost,gpu-expt-a
openml__satimage__2074,DANet,algs-gpu-2-datasets-a
openml__satimage__2074,DecisionTree,cpu-expt
openml__satimage__2074,KNN,cpu-expt
openml__satimage__2074,LightGBM,cpu-expt
openml__satimage__2074,LinearModel,cpu-expt
openml__satimage__2074,MLP,gpu-expt-a
openml__satimage__2074,NODE,algs-gpu-2-datasets-a
openml__satimage__2074,RandomForest,cpu-expt
openml__satimage__2074,STG,algs-gpu-2-datasets-a
openml__satimage__2074,SVM,cpu-expt
openml__satimage__2074,TabNet,gpu-expt-a
openml__satimage__2074,TabTransformer,algs-gpu-2-datasets-a
openml__satimage__2074,VIME,gpu-expt-a
openml__satimage__2074,XGBoost,gpu-expt-a
openml__satimage__2074,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__satimage__2074,rtdl_MLP,algs-gpu-2-datasets-a
openml__satimage__2074,rtdl_ResNet,algs-gpu-2-datasets-a
openml__scene__3485,CatBoost,algs-gpu-1-datasets-b-v2
openml__scene__3485,CatBoost,algs-gpu-1-datasets-b
openml__scene__3485,DecisionTree,algs-cpu-1-datasets-b
openml__scene__3485,DeepFM,algs-gpu-2-datasets-b
openml__scene__3485,KNN,algs-cpu-1-datasets-b
openml__scene__3485,LightGBM,algs-cpu-1-datasets-b
openml__scene__3485,LinearModel,algs-cpu-1-datasets-b
openml__scene__3485,LinearModel,all-datasets-b
openml__scene__3485,MLP,algs-gpu-1-datasets-b-v3
openml__scene__3485,MLP,algs-gpu-1-datasets-b
openml__scene__3485,NAM,algs-gpu-2-datasets-b
openml__scene__3485,NODE,algs-gpu-2-datasets-b
openml__scene__3485,RandomForest,algs-cpu-1-datasets-b
openml__scene__3485,SAINT,algs-gpu-2-datasets-b
openml__scene__3485,STG,algs-gpu-2-datasets-b
openml__scene__3485,SVM,algs-cpu-1-datasets-b
openml__scene__3485,TabNet,algs-gpu-1-datasets-b-v3
openml__scene__3485,TabNet,algs-gpu-1-datasets-b
openml__scene__3485,TabTransformer,algs-gpu-2-datasets-b
openml__scene__3485,VIME,algs-gpu-1-datasets-b-v3
openml__scene__3485,VIME,algs-gpu-1-datasets-b
openml__scene__3485,XGBoost,algs-gpu-1-datasets-b-v2
openml__scene__3485,XGBoost,algs-gpu-1-datasets-b-v3
openml__scene__3485,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__scene__3485,rtdl_MLP,algs-gpu-2-datasets-b
openml__scene__3485,rtdl_ResNet,algs-gpu-2-datasets-b
openml__segment__146822,CatBoost,gpu-expt-a
openml__segment__146822,DANet,algs-gpu-2-datasets-a
openml__segment__146822,DecisionTree,cpu-expt
openml__segment__146822,KNN,cpu-expt
openml__segment__146822,LightGBM,cpu-expt
openml__segment__146822,LinearModel,cpu-expt
openml__segment__146822,MLP,gpu-expt-a
openml__segment__146822,NODE,algs-gpu-2-datasets-a
openml__segment__146822,RandomForest,cpu-expt
openml__segment__146822,STG,algs-gpu-2-datasets-a
openml__segment__146822,SVM,cpu-expt
openml__segment__146822,TabNet,gpu-expt-a
openml__segment__146822,TabTransformer,algs-gpu-2-datasets-a
openml__segment__146822,VIME,gpu-expt-a
openml__segment__146822,XGBoost,gpu-expt-a
